plot_id,longitude,latitude,Altitude,crop_type,planting_date,season,country,county
271,38.12114,0.2992085,821.7,maize,11/6/2021,Short Rains,Kenya,Meru
272,37.6066602,0.1833453,1600.28,maize,10/5/2021,Short Rains,Kenya,Meru
273,37.8188393,0.0875327,1213.4,maize,10/17/2021,Short Rains,Kenya,Meru
274,37.7829071,0.1729153,1529.6,maize,10/15/2021,Short Rains,Kenya,Meru
275,37.7763138,0.0768184,1223.5,maize,10/17/2021,Short Rains,Kenya,Meru
276,37.731997,-0.0426153,1210.07,maize,11/13/2021,Short Rains,Kenya,Meru
277,37.6206637,0.2258772,1393.76,maize,10/15/2021,Short Rains,Kenya,Meru
278,37.8543128,-0.1003928,836.8,maize,11/3/2021,Short Rains,Kenya,Meru
279,37.861477,-0.1062451,758.62,maize,11/25/2021,Short Rains,Kenya,Meru
280,37.7903159,0.0782336,1183.8,maize,10/11/2021,Short Rains,Kenya,Meru
281,37.8630688,-0.1050003,762.47,maize,10/22/2021,Short Rains,Kenya,Meru
282,37.7776575,-0.1094948,1013.6,maize,10/7/2021,Short Rains,Kenya,Meru
283,37.8196758,0.0880995,1154.9,maize,10/28/2021,Short Rains,Kenya,Meru
284,37.8630393,-0.1051913,802,maize,11/22/2021,Short Rains,Kenya,Meru
285,37.8400852,0.249175,1778.8,maize,10/15/2021,Short Rains,Kenya,Meru
286,37.86159,-0.1063517,783.7,maize,10/17/2021,Short Rains,Kenya,Meru
287,37.8627816,-0.1051305,762.87,maize,11/17/2021,Short Rains,Kenya,Meru
288,37.79834667,-0.00169,1052.8,maize,10/15/2021,Short Rains,Kenya,Meru
289,38.1211724,0.2993042,824.8,maize,11/10/2021,Short Rains,Kenya,Meru
290,37.8191529,0.053952,1147.59,maize,10/15/2021,Short Rains,Kenya,Meru
291,37.5013731,0.1122372,2259,maize,10/17/2021,Short Rains,Kenya,Meru
292,37.6325352,0.15328,1531.46,maize,10/5/2021,Short Rains,Kenya,Meru
293,38.0574501,0.3742328,1078.5,maize,10/11/2021,Short Rains,Kenya,Meru
294,37.7872108,0.088568,1248.59,maize,10/28/2021,Short Rains,Kenya,Meru
295,37.6346268,0.1582176,1516.16,maize,10/6/2021,Short Rains,Kenya,Meru
296,37.77399333,-0.01116,1107.59,maize,10/17/2021,Short Rains,Kenya,Meru
297,37.75847,-0.016823333,1163.59,maize,10/12/2021,Short Rains,Kenya,Meru
298,37.8175099,0.087527,1236,maize,10/26/2021,Short Rains,Kenya,Meru
299,38.0623,0.37238,1307,maize,10/13/2021,Short Rains,Kenya,Meru
300,37.8175211,0.0879094,1197.08,maize,10/27/2021,Short Rains,Kenya,Meru
301,37.988997,0.3573033,1630.7,maize,11/16/2021,Short Rains,Kenya,Meru
302,37.776826,-0.0599553,952.7,maize,10/15/2021,Short Rains,Kenya,Meru
303,37.6666333,-0.0166003,1204.12,maize,10/15/2021,Short Rains,Kenya,Meru
304,38.0571008,0.3734368,1077.7,maize,10/10/2021,Short Rains,Kenya,Meru
305,37.861474,-0.1062362,762.18,maize,11/15/2021,Short Rains,Kenya,Meru
306,37.841085,-0.043035,936.9,maize,10/16/2021,Short Rains,Kenya,Meru
307,37.8625895,-0.1055224,771.1,maize,11/20/2021,Short Rains,Kenya,Meru
308,37.6422687,0.1637882,1489.04,maize,10/7/2021,Short Rains,Kenya,Meru
